 10 ,Ted, 4880 
FLEX!, 3924 
THE TED!!!!!!, 3060 
The guy, 2643 
Pink Floyd, 989 
The Ted, 786 
The Man!, 670 
Ted F., 647 
Got to do homework!, 624 
Gary, 622 

